ordernumber;image;main;description;position;width;height;relations
G11938;http://shopware.p562114.webspaceconfig.de/media/image/88/0e/7a/02015_tymbarknapoj22wisnia-jablko221lx6st_z1.jpg;1;;1;0;0;
G11939;http://shopware.p562114.webspaceconfig.de/media/image/88/76/8d/02017_tymbarknapoj22jablko-mieta221lx6st_z1.jpg;1;;1;0;0;
G11940;http://shopware.p562114.webspaceconfig.de/media/image/f4/13/fd/tymbark-zielony-banan-1l.png;1;;1;0;0;
G11942;http://shopware.p562114.webspaceconfig.de/media/image/c7/ac/a8/ga_02074_tymbark-napoj-jablkobrozkowinia-250ml-x-24st_th.png;1;;1;0;0;
G11943;http://shopware.p562114.webspaceconfig.de/media/image/ab/6f/24/Tymbark-Czarna-Porzeczka.jpg;1;;1;0;0;
G11949;http://shopware.p562114.webspaceconfig.de/media/image/6a/64/49/Tymbark-apfel-minz250ml.png;1;;1;0;0;
G11946;http://shopware.p562114.webspaceconfig.de/media/image/63/95/33/tymbark200mljablko_z1.png;1;;1;0;0;
G11947;http://shopware.p562114.webspaceconfig.de/media/image/5c/94/24/tymbark200mljablkobrzoskwinia_z1.png;1;;1;0;0;
G11948;http://shopware.p562114.webspaceconfig.de/media/image/1d/d1/c9/tymbark1ljablkogruszka_z1.png;1;;1;0;0;
G11950;http://shopware.p562114.webspaceconfig.de/media/image/a6/93/d9/tymbark200mljablko_z16ogR6sj2vf8XS.png;1;;1;0;0;
G11958;http://shopware.p562114.webspaceconfig.de/media/image/86/67/72/tymbark200mlmalinawisniajablkowinogrona_th.png;1;;1;0;0;
G11944;http://shopware.p562114.webspaceconfig.de/media/image/40/29/7e/tymbark1lsokczarnaporzeczka_th.png;1;;1;0;0;
G11952;http://shopware.p562114.webspaceconfig.de/media/image/4e/04/72/tymbark200mljablkobrzoskwinia_th.png;1;;1;0;0;
G11953;http://shopware.p562114.webspaceconfig.de/media/image/9e/98/db/tymbark1ljablkorabarbar_th.png;1;;1;0;0;
G11941;http://shopware.p562114.webspaceconfig.de/media/image/60/ab/b5/Tymbark-banan-jablko-cytryna-200ml.png;1;;1;0;0;
